lemma,frequency,derivatives
verdadero,158,verdadero verdadera verdaderos
puesto poner,158,puesto puestos puestas
sistema,157,sistema sistemas
pelear,157,pelear peleando peleamos peleen pelean peleo pelee peleaste peleó pelearon
médico,157,médico médicos medico
maldición,157,maldición maldicion
ropa,156,ropa ropas
querida querido querer,156,querida
imaginar,153,imagino imaginar imagina imaginas imaginé imaginaba imagínate imaginarme imagine
suyo,152,suyo suya suyos suyas
respuesta,152,respuesta respuestas
odio odiar,151,odio
dolor,151,dolor dolores
querido querer,150,querido queridos
Nueva York jamón york,150,york
compañía,150,compañía compañías
trasero,149,trasero trasera traseros
romper,149,romper rompió rompe rompí rompiste rompiendo rompan rompieron rompimos rompo rompa rompen romperé
mostrar,149,mostraré mostrar muéstrame mostrarte mostrarle mostró muestran muestre mostrarles mostrando mostrarme
llamado llamar,149,llamado llamados
ley,149,ley leyes
decidir,149,decidir decidí decidió decide decidimos decides decida decidiste decidieron decido deciden
volar,148,volar volando vuela voló vuelan volé
existir,148,existe existen existir existía exista
frente,147,frente
cuántos,147,cuántos cuántas
muerto,146,muertos
escapar,146,escapar escapó escapa escapando escapaste escaparse escaparon escapé
asesino asesinar,146,asesino
sueño soñar,145,sueño
línea,145,línea líneas
información,145,información informacion
profesor,144,profesor profesores
mente,144,mente mentes
viaje viajar,143,viaje
sitio,143,sitio sitios
probablemente,143,probablemente
disculpa disculpar,143,disculpa disculpas
rojo,142,rojo roja rojos
maravilloso,142,maravilloso maravillosa maravillosos maravillosas
lamento lamentar,142,lamento
demás,142,demás demas
referir,141,refieres refiero refiere refería
oído oír,141,oído
mensaje,141,mensaje mensajes
encima,141,encima
ustedes,140,uds
explicar,140,explicar explica explicarlo explicaré explicarte explique explico explicarle explicarme explicas explícame explicaría
enfermo,140,enfermo enferma enfermos
preguntar pregunta,139,preguntas
mentir,139,mintiendo mentir miente mentí mientes mintió mentiste mientas miento mentiría
ejército,139,ejército ejércitos
servicio,138,servicio servicios
señal,138,señal señales
incluso,138,incluso
grupo,138,grupo grupos
barco,138,barco barcos
pobre,137,pobre pobres
hacer haz,137,haz
futuro,137,futuro futura
convertir,137,convierte convirtió convertirse convertir convirtiendo convertirá convertirme convierta convertí convertirte convierten convertiré
boca,137,boca
amiga,137,amiga amigas
bienvenido,136,bienvenido bienvenidos
baño bañar,136,baño
adentro,136,adentro
novia,135,novia novias
daño dañar,135,daño
atención,135,atención atencion
presentar,134,presento presentar presenta presentarles presentó presentarte presentarme presiento presentarle presentaré
peligroso,134,peligroso peligrosa peligrosos peligrosas
joder,134,joder jódete jodas jodiendo jodan joda jode jodió jodete
caminar,134,caminar caminando camina caminas caminaba camine
enemigo,133,enemigo enemigos
diez,133,diez
campo campar,133,campo
asegurar,133,aseguro asegúrate asegurarme asegurar asegurarnos asegurarse aseguraré asegúrese asegura
probar,132,probar probado probarlo probando pruebe probemos pruébalo probaré
normal,132,normal normales
bromear,132,bromeando bromeas bromeo bromeaba bromea bromear
brazo,132,brazo brazos
arreglar,132,arreglar arreglarlo arreglaré arregla arregló arreglaremos arreglamos arreglé arreglando arregle
aire,132,aire aires
placer,131,placer
personal,131,personal personales
música,131,música musica
programa,130,programa programas
perra,130,perra perras
caja,130,caja cajas
animal,129,animales animal
vender,128,vender vende vendiendo vendió venden vendí vendes vendiste venderlo
situación,128,situación situaciones situacion
sino,128,sino
sal salir,127,sal
accidente,127,accidente accidentes
rico,126,rico ricos rica
navidad,126,navidad navidades
frío freír,126,frío fría frio
ello,126,ello
permiso,125,permiso
voz,124,voz voces
lleno llenar,124,lleno llena
bailar,124,bailar bailando baila bailas bailamos bailo
abogado,124,abogado abogados
papel,123,papel papeles
gracioso,123,gracioso graciosa
bajo baja,123,baja bajas
agarrar,123,agarra agarrar agárrate agarró agarré agarren agárralo agarro agarramos agarraron agárrense
tren,122,tren trenes
droga,122,drogas droga
soltar,121,suéltame suelte suéltala suéltalo suéltenme suelten soltar suélteme sueltes soltó
paciente,121,paciente pacientes
maestro,121,maestro maestros
acercar,121,acerques acércate acerque acercando acercan acerquen acercó acercarme acercarse acérquense acercándose acercamos acercarte
traer traje,120,traje
robot,120,robot robots
proteger,120,proteger protege protegerte protegiendo protegerme protegerla protegen proteja protegerlo
pierna,120,piernas pierna
jurar,120,juro jurar juró jura juré
desaparecer,119,desapareció desaparecer desaparece desaparecieron desaparecerá desaparecen desaparezca
dama,119,damas dama
relación,118,relación relaciones
piso pisar,118,piso
pena penar,118,pena
divertido divertir,118,divertido divertida
calmar,118,cálmate cálmese cálmense calmate calme
alma,118,alma almas
pelea pelear,117,pelea peleas
imposible,117,imposible
hotel,117,hotel hoteles
guardia,117,guardia guardias
culo,117,culo culos
cámara,117,cámara cámaras camara
caballo,117,caballo caballos
ocupado ocupar,116,ocupado ocupada ocupados
misión,116,misión misiones mision
gana ganar,116,ganas gana
dulce,116,dulce dulces
continuar,116,continuar continúa continúe continúen continuará continuemos continúan
odiar,115,odia odie odias odian odiaba odiaría odiar
tras,114,tras
siguiente,114,siguiente siguientes
mitad,114,mitad
mesa,114,mesa mesas
decisión,114,decisión decisiones
atacar,114,atacar atacó ataca atacaron atacan atacando ataquen atacaremos
americano,114,americano americanos americana americanas
preferir,113,prefiero preferiría prefiere prefieres prefieren
estrella estrellar,113,estrella estrellas
doler,113,duele doler dolió dolerá duela
centro centrar,113,centro
asesinato,113,asesinato asesinatos
marido,112,marido
honor,112,honor honores
basura,112,basura
necesario,111,necesario necesaria necesarias
hambre,111,hambre
ataque atacar,111,ataque
regla,110,reglas regla
izquierda,110,izquierda
interesante,110,interesante interesantes
edificio,110,edificio edificios
derecha,110,derecha
banco,110,banco bancos
aparecer,110,aparece apareció aparecer aparecen aparezca aparecerá aparecieron apareces
vista ver,109,vista
salvo salvar,109,salvo
destruir,109,destruir destruyó destruye destruirlo destruyendo destruirá destruya destruyeron
compañero,109,compañero compañeros
terrible,108,terrible terribles
responder,108,responde responder responda respóndeme respondió responden respondes respondan
pelo pelar,108,pelo
nena,108,nena
máquina,108,máquina máquinas maquina
mandar,108,mandó mandar mande mandé mandaron mandaré mandan manden mandaste
ayer,108,ayer
asustar,108,asusta asustaste asustó asustando asustan asustar asusté asustas asustes asustarte asustarme asuste
acción,108,acción acciones
gato,107,gato gatos
ellas,107,ellas
edad,107,edad
simplemente,106,simplemente
posición,106,posición posiciones posicion
abierto abrir,106,abierto abierta abiertos
ventana,105,ventana ventanas
sol,105,sol
preparado preparar,105,preparado preparados preparada
cerebro,105,cerebro cerebros
atrapar,105,atrapar atraparlo atraparon atrapa atrapó atrapen atrapé atrapamos atrapan atrape atraparemos
vuelto volver,104,vuelto
sexo,104,sexo
peligro peligrar,104,peligro
mentira,104,mentira mentiras
espada,104,espada espadas
cliente,104,cliente clientes
canción,104,canción canciones cancion
alrededor,104,alrededor alrededores
silencio,103,silencio
sargento,103,sargento sgto
crear,103,crear crea crean creando crearon creéis creamos
cortar,103,cortar cortó corten cortas cortaron cortando corté cortaré
amar,103,amaba amar aman amamos amabas amen ame amé amaré
sorpresa,102,sorpresa sorpresas
regreso regresar,102,regreso
novio,102,novio novios
media medio,102,media
detective,102,detective detectives
contacto contactar,102,contacto contactos
carrera,102,carrera carreras
pistola,101,pistola pistolas
oro orar,101,oro
llorar,101,llorar llorando llores llora lloro lloras
enseguida,101,enseguida
crimen,101,crimen crímenes
ángel,101,ángeles ángel angel
papa,100,papa papas
excelente,100,excelente excelentes
esposo esposar,100,esposo
dirección,100,dirección direcciones
descubrir,100,descubrir descubrí descubrió descubre descubrieron descubrimos descubriste descubra
ama amar,100,ama amas
respirar,99,respira respirar respirando respire
norte,99,norte
doctora,99,dra doctora
buscar busca,99,busca
víctima,98,víctima víctimas victima victimas
tienda tender,98,tienda tiendas
siete,98,siete
sala,98,sala salas
duda dudar,98,duda dudas
cumpleaños,98,cumpleaños
completamente,98,completamente
cita citar,98,cita
casado casar,98,casado casada casados
broma,98,broma bromas
bomba,98,bomba bombas
agradecer,98,agradezco agradecer agradecería agradecerle agradecemos agradecerte agradece
rayo,97,rayos rayo
porqué,97,porqué
metro,97,metros metro
dedo,97,dedo dedos
comprender,97,comprendo comprendes comprender comprende
aun,97,aun
público,96,público pública públicas
precioso,96,preciosa precioso preciosas preciosos
planeta,96,planeta planetas
merecer,96,merece mereces merezco merecía merecen
coger,96,coger coge cogió cogí cogeré cogiendo coges
bala,96,bala balas
reunión,95,reunión reuniones
nota notar,95,nota notas
inglés,95,inglés ingleses inglesa
imbécil,95,imbécil imbéciles imbecil
héroe,95,héroe héroes heroe
gobierno,95,gobierno
cena cenar,95,cena
calma calmar,95,calma
base basar,95,base bases
abuelo,95,abuelo abuelos
horrible,94,horrible horribles
golpe,94,golpe golpes
destino,94,destino
creer crear,94,creen
unidad,93,unidad unidades
través,93,través
tirar,93,tirar tiró tirando tiré tiren tire tiraste tires
soler,93,solía suele suelen solíamos solían
regalo regalar,93,regalo
isla,93,isla islas
azul,93,azul azules
orgulloso,92,orgulloso orgullosa orgullosos
operación,92,operación operaciones
interesar,92,interesa interesan interese
iglesia,92,iglesia
golpear,92,golpear golpeó golpea golpeado golpeando golpeaste golpearme golpee golpearon
fantástico,92,fantástico fantástica fantastico
entrada entrar,92,entrada entradas
deseo desear,92,deseo
cualquiera,92,cualquiera
carne,92,carne
apostar,92,apuesto apostar
toque tocar,91,toques toque
sueño,91,sueños
principio,91,principio principios
pista,91,pista pistas
libertad,91,libertad
Jesús,91,jesús
investigación,91,investigación investigaciones
corte cortar,91,corte cortes
caliente,91,caliente calientes
bolsa,91,bolsa bolsas
varios,90,varios varias
tercero,90,tercera tercer tercero
ofrecer,90,ofrece ofreció ofrecer ofrezco ofrecerle ofrecen ofrecerte ofrecieron ofreciendo ofrecí
obra obrar,90,obra obras
nivel,90,nivel niveles
luna,90,luna
infierno,90,infierno
hogar,90,hogar hogares
estación,90,estación estaciones
departamento,90,departamento depto
club,90,club
teniente,89,teniente
mar,89,mar mares
locura,89,locura locuras
espalda,89,espalda espaldas
consejo,89,consejo consejos
completo completar,89,completo completa
ambos ambo,89,ambos
vuelo volar,88,vuelo
totalmente,88,totalmente
manejar,88,manejar maneja manejando manejarlo manejas
equivocado,88,equivocado equivocados equivocadas
descansar,88,descansar descansa descanse descansen descansando
conocido conocer,88,conocido conocidos
causa causar,88,causa causas
cárcel,88,cárcel carcel
árbol,88,árbol árboles
vuestro,87,vuestro vuestra vuestros vuestras
simple,87,simple simples
pared,87,pared paredes
ojalá,87,ojalá ojala
limpio limpiar,87,limpio limpia
junto juntar,87,junto
intento intentar,87,intento intentos
coronel,87,coronel
código,87,código códigos codigo
bar,87,bar bares
ante,87,ante
alejar,87,aléjate aléjense aléjese alejarme aleja alejarse alejate
suelo soler,86,suelo
nervioso,86,nervioso nerviosa nerviosos
entero,86,entero entera
sur,85,sur
rato,85,rato
parte partir,85,partes
opción,85,opción opciones
espíritu,85,espíritu espíritus espiritu
energía,85,energía energia
comandante,85,comandante
cerveza,85,cerveza cervezas
antiguo,85,antiguo antigua antiguos antiguas
amable,85,amable amables
actuar,85,actuar actúa actuando actúas
triste,84,triste tristes
según,84,según
prisa,84,prisa
posibilidad,84,posibilidad posibilidades
monstruo,84,monstruo monstruos
gordo,84,gordo gorda gordos
espacio,84,espacio
elegir,84,elegir elige eligió elegiste elegí eliges elijo
camión,84,camión camiones
bosque,84,bosque bosques
zona,83,zona zonas
unido unir,83,unidos unido
inteligente,83,inteligente inteligentes
informe informar,83,informe informes
hecho hacer,83,hechos hecha hechas
baile,83,baile bailes
vestido vestir,82,vestido vestida
salida salir,82,salida
oler,82,huele oler huelo hueles huelen
nacer,82,nació nací nacer naciste nace nacen
fondo,82,fondo fondos
color,82,color colores
temprano,81,temprano
socio,81,socio socios
río reír,81,río
revisar,81,revisar revisa revisen revisando revise revisé revisaré
preocupado preocupar,81,preocupado preocupada preocupados
pedazo,81,pedazo pedazos
ocho,81,ocho
montón,81,montón montones monton
gritar,81,gritar gritando grita grites gritó grite gritaba
cerrado cerrar,81,cerrado cerrada
capaz,81,capaz capaces
bello,81,bella bello bellas
radio,80,radio
miembro,80,miembros miembro
invitar,80,invito invitar invitó invita invitarte invitaron invité invitaste invitarme
boda,80,boda bodas
universidad,79,universidad
taxi,79,taxi taxis
prisión,79,prisión prisiones
príncipe,79,príncipe principe
guardar,79,guarda guardar guarde guardo guardan
fantasma,79,fantasma fantasmas
excepto,79,excepto
esperanza,79,esperanza esperanzas
contestar,79,contesta contestar conteste contéstame contestó contestes
batalla,79,batalla
aguantar,79,aguanta aguantar aguanto
zapato,78,zapatos zapato
valor,78,valor valores
respeto respetar,78,respeto
quieto,78,quieto quietos quieta
ocupar,78,ocupo ocuparé ocupa ocuparme ocúpate ocupar ocuparse ocuparemos ocupará ocupe
luchar,78,luchar luchando luchamos luchó
encuentro encontrar,78,encuentro
dejado dejar,78,dejado
cargo cargar,78,cargo
oscuro,77,oscuro oscura oscuras oscuros
memoria,77,memoria memorias
controlar,77,controlar controla controlarlo controlo controlan
considerar,77,considera considerando considerar considero considere consideran consideras
cantar,77,cantar canta cantando
abuela,77,abuela
soldado,76,soldados
salud,76,salud
emergencia,76,emergencia emergencias
crecer,76,crecer creciendo crecí crece creció crecen crezca
conducir,76,conducir conduce conduciendo conduzco conducía
cenar,76,cenar
cabrón,76,cabrón cabrones
averiguar,76,averiguar averiguarlo averigua averiguaré
apurar,76,apúrate apúrense apurate apúrese
anillo,76,anillo anillos
verde,75,verde verdes
partido partir,75,partido partidos
flor,75,flores flor
finalmente,75,finalmente
enamorado enamorar,75,enamorado enamorada enamorados
debajo,75,debajo
corto cortar,75,corto corta
alegrar alegro,75,alegro
tontería,74,tonterías tontería
sentimiento,74,sentimientos sentimiento
san San,74,san
mayoría,74,mayoría mayoria
fumar,74,fumar fumando fumo fuma fumas
experiencia,74,experiencia experiencias
divertir,74,divirtiendo divertirnos divertirse diviértete divertirte divierte diviértanse divertirme divertimos
disfrutar,74,disfrutar disfruta disfrute disfruten disfrutando disfruto
diferencia,74,diferencia diferencias
acaso,74,acaso
testigo,73,testigo testigos
tarjeta,73,tarjeta tarjetas
opinión,73,opinión opiniones
francés,73,francés francesa franceses
favorito,73,favorito favorita favoritos favoritas
exacto,73,exacto exacta
brillante,73,brillante brillantes
principal,72,principal principales
princesa,72,princesa
precio,72,precio precios
partir,72,partir parto partimos partió
medicina,72,medicina medicinas
matado matar,72,matado
discutir,72,discutir discutiendo discutimos discutirlo discutiremos
asiento,72,asiento asientos
arte,72,arte artes
trampa,71,trampa trampas
saltar,71,saltar salta saltó salte saltando
piedra,71,piedra piedras
pelota,71,pelota pelotas
papi,71,papi
hallar,71,hallar hallé hallaron hallamos halló halla
defensa,71,defensa defensas
aquel,71,aquel aquél
apenas,71,apenas
sucio,70,sucio sucia sucios sucias
propósito,70,propósito propósitos
militar,70,militar militares
mando mandar,70,mando
inocente,70,inocente inocentes
huevo,70,huevos huevo
especie,70,especie especies
esconder,70,esconde esconder escondiendo esconderse esconderte escóndete escondes escondió
enorme,70,enorme enormes
doble,70,doble dobles
cumplir,70,cumplir cumple cumplí cumplió cumplo cumpla cumpliendo
uh,69,uh
TV,69,tv
puente,69,puente
pertenecer,69,pertenece pertenecen perteneces pertenezco pertenecía
montaña,69,montaña montañas
líder,69,líder líderes lider
imagen,69,imagen imágenes
huir,69,huir huyendo huye huyó
forma formar,69,formas
evitar,69,evitar evitarlo
estupendo,69,estupendo estupenda
estudiante,69,estudiante estudiantes
director,69,director directores
área,69,área áreas area
alemán,69,alemanes alemán alemana
agradable,69,agradable agradables
trago tragar,68,trago
soldado soldar,68,soldado
riesgo,68,riesgo riesgos
reina reinar,68,reina
poder podar,68,podamos
muestra mostrar,68,muestra muestras
fe,68,fe
don,68,don
delante,68,delante
acordar,68,acuerdas acordamos acuérdate
velocidad,67,velocidad
periódico,67,periódico periódicos
nariz,67,nariz narices
movimiento,67,movimiento movimientos
marca marcar,67,marca marcas
invitado invitar,67,invitado invitados invitada
felicidad,67,felicidades felicidad
escena,67,escena escenas
encantado encantar,67,encantado encantada
común,67,común comunes
cocina cocinar,67,cocina
cinta,67,cinta cintas
banda,67,banda bandas
apagar,67,apaga apagar apague apágalo apaguen apágala
alta,67,alta
profesional,66,profesional profesionales
piel,66,piel pieles
objetivo,66,objetivo objetivos
mapa,66,mapa mapas
grandioso,66,grandioso grandiosa
familiar,66,familiar familiares
estado estar,66,estados
ejemplo,66,ejemplo
criminal,66,criminal criminales
bastardo,66,bastardo bastardos
viento,65,viento vientos
sugerir,65,sugiero sugiere sugerir sugieres sugirió sugiriendo
ridículo,65,ridículo ridícula
recoger,65,recoger recoge recoja recogió recogiendo recogeré
motivo,65,motivo motivos
Londres,65,londres
estilo,65,estilo
EEUU,65,eeuu
cambiar cambiado,65,cambiado
asustado asustar,65,asustado asustada
vacío,64,vacío vacía vacías vacíos
té,64,té
sufrir,64,sufrir sufrió sufre sufriendo
relajar,64,relájate relajarte relajate relájese relajarme
reconocer,64,reconozco reconoce reconoces reconocer reconocí
puro,64,pura puro puros
presión,64,presión presiones
poderoso,64,poderoso poderosa poderosos
ordenar,64,ordenó ordeno ordena ordenar ordene ordené
marchar,64,marchar marchó marcharse marcho marcharme márchate marchen marcharte marchando
mami,64,mami
enfermedad,64,enfermedad enfermedades
embargo,64,embargo
distinto,64,distinto distinta distintas distintos
culpable,64,culpable culpables
cuello,64,cuello
compra comprar,64,compras compra
carga cargar,64,carga cargas
bola,64,bola bolas
blanco Blanca,64,blanca
alegrar,64,alegra
vacación,63,vacaciones
tiro tirar,63,tiro
tía,63,tía tia
ruso,63,ruso rusos rusa
despacio,63,despacio
sospechoso,62,sospechoso sospechosos sospechosa
siglo,62,siglo siglos
respecto,62,respecto
reloj,62,reloj relojes
mama,62,mama
ladrón,62,ladrón ladrones
laboratorio,62,laboratorio laboratorios
guapo,62,guapo guapa
famoso,62,famoso famosa famosos
éxito,62,éxito
dudar,62,dudo dude dudar
dirigir,62,dirige dirigir dirigen dirijo dirigimos
desgraciado desgraciar,62,desgraciado desgraciados
criatura,62,criatura criaturas
computadora,62,computadora computadoras
bienvenida,62,bienvenida
América,62,américa america
aeropuerto,62,aeropuerto aeropuertos
pegar,61,pegó pegar pegarle pégale pégame pegarme pegaste pego
matrimonio,61,matrimonio
hielo,61,hielo
dueño,61,dueño dueños
diario,61,diario diarios
detalle,61,detalles detalle
débil,61,débil débiles
copa,61,copa copas
proyecto,60,proyecto proyectos
piloto,60,piloto pilotos
mío mio,60,mio
grave,60,grave graves
grado,60,grados grado
escalera,60,escaleras escalera
encantador,60,encantador encantadora
elección,60,elección elecciones
cuestión,60,cuestión cuestiones
borracho,60,borracho borracha borrachos
visita,59,visita
sobrevivir,59,sobrevivir sobrevivió sobrevivirá
ruido,59,ruido ruidos
responsable,59,responsable responsables
pasada pasado pasar,59,pasada pasadas
pantalón,59,pantalones pantalón
lastimar,59,lastimar lastimarte lastime lastimes lastimé lastimó lastimen lastimando
jodido joder,59,jodido jodidos
efecto,59,efecto efectos
disparo,59,disparo disparos
diente,59,dientes diente
ciento,59,cientos ciento
cansar cansado,59,cansado
calor,59,calor
valiente,58,valiente valientes
tema temer,58,tema
resultar,58,resulta resultó resultar
profundo,58,profundo profunda
pecho,58,pecho pechos
herir herido,58,herido
depender,58,depende
cometer,58,cometer cometí cometió cometiendo comete cometiste
cine,58,cine
cerdo,58,cerdo cerdos
cadáver,58,cadáver cadáveres
París,57,parís
oeste,57,oeste
máximo,57,máximo máxima
juicio,57,juicio
directo,57,directo directa
cuchillo,57,cuchillo cuchillos
costa,57,costa costas
construir,57,construir construyó construyendo construyeron
atrapado atrapar,57,atrapado atrapados atrapada
araña arañar,57,araña arañas
apuesta apostar,57,apuesta apuestas
truco,56,truco trucos
sonido,56,sonido sonidos
seguramente,56,seguramente
sabio,56,sabia sabio
restaurante,56,restaurante restaurantes
rata,56,rata ratas
obtener,56,obtener obtuvo obtuve obtuviste
nueve,56,nueve
mina,56,mina minas
majestad,56,majestad
fuente,56,fuente fuentes
feo,56,feo fea feas
encargar,56,encargaré encárgate encargaremos encargarme encargará encargue
carro,56,carro carros
video,55,video videos
verano,55,verano
turno,55,turno turnos
tumba tumbar,55,tumba tumbas
tormenta,55,tormenta tormentas
televisión,55,televisión
primo,55,primo primos
prensa,55,prensa
pez,55,pez peces
peso pesar,55,peso
pareja,55,pareja
oscuridad,55,oscuridad
lucha luchar,55,lucha luchas
devolver,55,devolver devolveré devuelve devuelvo devuélveme devuelva devuelves
cuenta contar,55,cuentas
contento,55,contento contentos
cigarrillo,55,cigarrillo cigarrillos
ciencia,55,ciencia ciencias
beso besar,55,beso
amenaza amenazar,55,amenaza amenazas
vistazo,54,vistazo
solamente,54,solamente
silla,54,silla sillas
rosa,54,rosa rosas
planear,54,planeando planea planear planeo planeas planeamos planeó
perdido perder,54,perdida perdidos
menor,54,menor menores
junta juntar,54,juntas junta
inmediatamente,54,inmediatamente
enojado enojar,54,enojado enojada
definitivamente,54,definitivamente
condición,54,condiciones condición
asesinado asesinar,54,asesinado asesinada asesinados
viajar,53,viajar viajando viaja viajan
torre,53,torre torres
tesoro,53,tesoro tesoros
retirar,53,retírense retirarse retirar retira retire retiró retirarme
repetir,53,repito repetir repite repita
recuperar,53,recuperar recupera recupere recuperarlo
local,53,local locales
interés,53,interés intereses
huella,53,huellas huella
extrañar,53,extrañas extrañé extrañar extrañaré extrañamos
equivocar,53,equivoqué equivocas equivoca equivocó
enfermera,53,enfermera enfermeras
cuento contar,53,cuento
cruzar,53,cruzar cruzando cruza cruzó
ciego,53,ciego ciega ciegos ciegas
bote botar,53,bote
vosotros,52,vosotros
victoria,52,victoria victorias
soportar,52,soportar soporto soportarlo soporta
revista,52,revista revistas
responsabilidad,52,responsabilidad responsabilidades
reír,52,reír riendo ríes ríe ríen
quemar,52,quemar quema quemando quemó quemen
propiedad,52,propiedad propiedades
presente presentar,52,presente presentes
paga pagar,52,paga
muchacha,52,muchacha muchachas
lana,52,lana
intención,52,intención intenciones
ganado ganar,52,ganado
evidencia,52,evidencia evidencias
estudiar,52,estudiar estudiando estudié estudia
especialmente,52,especialmente
dispuesto disponer,52,dispuesto dispuesta dispuestos
debido deber,52,debido
confianza,52,confianza
campeón,52,campeón campeones campeon
botella,52,botella botellas
absoluto,52,absoluto absoluta
absolutamente,52,absolutamente
tropa,51,tropas tropa
sombrero,51,sombrero sombreros
red,51,red
prisionero,51,prisionero prisioneros
modelo,51,modelo modelos
lástima,51,lástima
jugador,51,jugador jugadores
inmediato,51,inmediato inmediata
diamante,51,diamantes diamante
colega,51,colega colegas
central,51,central
belleza,51,belleza
vos,50,vos
voluntad,50,voluntad
total,50,total
tarea,50,tarea tareas
talento,50,talento talentos
serie,50,serie series
pedir pedido,50,pedido
milla,50,millas milla
meta meter,50,metas meta
marcha marchar,50,marcha
lengua,50,lengua
largar,50,lárgate larguémonos lárguense
justicia,50,justicia
juez,50,juez jueces
hueso,50,huesos hueso
guerrero,50,guerrero guerreros
embarazado embarazar,50,embarazada
cura curar,50,cura
costar,50,costó costará cueste costar cuestan
cabello,50,cabello
besar,50,besar bésame besa besarme besarte besó besando
autoridad,50,autoridad autoridades
adorar,50,adoro adora adoran adoraba
acto,50,acto actos
suelto soltar,49,suelta suelto
soñar,49,soñando soñar soñé sueña soñaba
show,49,show
sexual,49,sexual sexuales
sentar sentado,49,sentado
salvaje,49,salvaje salvajes
romano,49,romano romanos romana
privado privar,49,privado privados
premio,49,premio premios
pastel,49,pastel pasteles
pan,49,pan
pájaro,49,pájaro pájaros
pago pagar,49,pago
olvidado olvidar,49,olvidado
naturaleza,49,naturaleza
mono,49,mono monos
lobo,49,lobo lobos
leche,49,leche
herida herido herir,49,herida
empresa,49,empresa empresas
desastre,49,desastre
canal,49,canal canales
cable,49,cable cables
auxilio,49,auxilio
adivinar,49,adivina adivinar
acceso,49,acceso
abandonar,49,abandonar abandonó abandona abandone
últimamente,48,últimamente ultimamente
sujeto,48,sujeto sujetos
sorprender,48,sorprende sorprendió sorprendería
playa,48,playa
pensamiento,48,pensamientos pensamiento
pata,48,pata patas
natural,48,natural naturales
motor,48,motor motores
matar mate,48,mate mates
km,48,km
judío,48,judío judíos judía
inútil,48,inútil inútiles
escoger,48,escoger escogió escoge escogí escogiste
conversación,48,conversación conversaciones
caray,48,caray
arruinar,48,arruinar arruinó arruinaste arruiné arruinando arruine
aquella,48,aquella
acostar,48,acostarte acostarme acostarse acostaste acuéstate acostar acosté
tiburón,47,tiburones tiburón
súper,47,súper super
pesadilla,47,pesadilla pesadillas
necesidad,47,necesidad necesidades
mister,47,mr
menudo,47,menudo menuda
liso Lisa,47,lisa
interior,47,interior
habilidad,47,habilidad habilidades
examen,47,examen exámenes
dato,47,datos dato
cobarde,47,cobarde cobardes
camisa,47,camisa camisas
cadena,47,cadena cadenas
archivo,47,archivos archivo
apartamento,47,apartamento
actor,47,actor actores
vivo,46,vivos
vigilar,46,vigilando vigila vigilar
tamaño,46,tamaño
sheriff,46,sheriff
roca,46,roca rocas
protección,46,protección
Inglaterra,46,inglaterra
honesto,46,honesto honesta honestos
gas,46,gas gases
estudio estudiar,46,estudio
entregar,46,entregar entrego entregue entregó entregaré
despedir,46,despedir despidieron despedirme despedirte despidió
desnudo desnudar,46,desnudo desnuda desnudos
descanso descansar,46,descanso
colegio,46,colegio
cabo,46,cabo
bruja,46,bruja brujas
autobús,46,autobús
viernes,45,viernes
roto romper,45,roto
robo robar,45,robo
parado parar,45,parado parados
obviamente,45,obviamente
lago,45,lago
interesado interesar,45,interesado interesada interesados
helicóptero,45,helicóptero helicópteros
cuesta costar,45,cuesta
cubierto cubrir,45,cubierta cubierto
combate combatir,45,combate
clave,45,clave claves
chino,45,chino chinos
avisar,45,avísame avisar avisa avisaré avise avisarle
apoyo apoyar,45,apoyo
admitir,45,admitir admito admitirlo admite
vecino,44,vecinos vecino
uso usar,44,uso
terrorista,44,terroristas terrorista
superior,44,superior superiores
sombra,44,sombra sombras
sección,44,sección
repente,44,repente
pulso pulsar,44,pulso
promesa,44,promesa promesas
paseo pasear,44,paseo
original,44,original originales
opinar,44,opinas opina opino
muñeca,44,muñeca muñecas
muchísimo mucho,44,muchísimo muchísimas
investigar,44,investigar investigando investiga
faltar,44,faltan faltaba faltó
engañar,44,engañar engañando engañó engañarme engañaste
emoción,44,emociones emoción
distancia,44,distancia
decidido decidir,44,decidido
corriente,44,corriente corrientes
contrato contratar,44,contrato
tardar,43,tardará tardaré tardar tarda tardaste
puto,43,puto putos
pollo,43,pollo pollos
plato,43,plato platos
pieza,43,pieza piezas
pesar,43,pesar
permanecer,43,permanecer permanece permanezcan permanezca
nación,43,nación naciones
mentiroso,43,mentiroso mentirosa
mencionar,43,mencionar mencionó mencioné mencionaste menciona
limpiar,43,limpiar limpiando
japonés,43,japonés japoneses japonesa
gratis,43,gratis
firme firmar,43,firme firmes
ex,43,ex
estómago,43,estómago estomago
época,43,época
empleo emplear,43,empleo
científico,43,científico científicos
cheque,43,cheque cheques
carretera,43,carretera carreteras
bordo,43,bordo
avanzar,43,avanzar avanzando avancen avanza
aspecto,43,aspecto aspectos
apuntar,43,apunta apunten apuntando apunto apuntar
urgencia,42,urgencias urgencia
túnel,42,túnel túneles
toma tomar,42,tomas
tira tirar,42,tira tiras
techo techar,42,techo
rodilla,42,rodillas rodilla
nacional,42,nacional
leyenda,42,leyenda leyendas
genio,42,genio
ganador,42,ganador ganadores ganadora
frontera,42,frontera fronteras
firma firmar,42,firma firmas
esquina,42,esquina
escondido esconder,42,escondido escondidas escondida escondidos
chocolate,42,chocolate chocolates
chino China,42,china
castillo,42,castillo
aquellos,42,aquellos
